Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 12:45:52,1,100,6,4,0,22.666666666666668
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:02:36,1,100,16,84,0,6.6875
11/13/22 13:02:36,2,100,13,87,0,5.461538461538462
11/13/22 13:02:37,3,100,9,91,0,3.5555555555555554
11/13/22 13:02:37,4,100,14,86,0,8.071428571428571
11/13/22 13:02:38,5,100,10,90,0,4.4
11/13/22 13:02:38,6,100,13,87,0,6.0
11/13/22 13:02:39,7,100,14,86,0,7.071428571428571
11/13/22 13:02:39,8,100,16,84,0,6.0625
11/13/22 13:02:40,9,100,10,90,0,8.0
11/13/22 13:02:40,10,100,10,90,0,5.2
11/13/22 13:02:41,11,100,15,85,0,8.2
11/13/22 13:02:42,12,100,18,82,0,8.222222222222221
11/13/22 13:02:42,13,100,12,88,0,6.666666666666667
11/13/22 13:02:43,14,100,14,86,0,7.142857142857143
11/13/22 13:02:43,15,100,13,87,0,6.6923076923076925
11/13/22 13:02:44,16,100,27,73,0,5.62962962962963
11/13/22 13:02:44,17,100,20,80,0,7.45
11/13/22 13:02:45,18,100,19,81,0,6.842105263157895
11/13/22 13:02:45,19,100,13,87,0,7.230769230769231
11/13/22 13:02:46,20,100,16,84,0,7.375
11/13/22 13:02:46,21,100,18,82,0,8.38888888888889
11/13/22 13:02:47,22,100,16,84,0,8.6875
11/13/22 13:02:48,23,100,23,77,0,5.3478260869565215
11/13/22 13:02:48,24,100,14,86,0,7.071428571428571
11/13/22 13:02:49,25,100,10,90,0,6.9
11/13/22 13:02:49,26,100,13,87,0,5.538461538461538
11/13/22 13:02:50,27,100,12,88,0,4.333333333333333
11/13/22 13:02:50,28,100,18,82,0,7.611111111111111
11/13/22 13:02:51,29,100,19,81,0,7.473684210526316
11/13/22 13:02:51,30,100,11,89,0,10.545454545454545
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:05:28,1,100,1,0,0,10.0
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:06:09,1,100,13,87,0,6.923076923076923
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:11:07,1,100,17,83,0,6.823529411764706
11/13/22 13:11:08,2,100,13,87,0,5.3076923076923075
11/13/22 13:11:08,3,100,18,82,0,6.0
11/13/22 13:11:09,4,100,7,93,0,6.857142857142857
11/13/22 13:11:09,5,100,17,83,0,6.647058823529412
11/13/22 13:11:10,6,100,10,90,0,7.3
11/13/22 13:11:10,7,100,16,84,0,9.625
11/13/22 13:11:11,8,100,15,85,0,6.866666666666666
11/13/22 13:11:11,9,100,10,90,0,6.3
11/13/22 13:11:12,10,100,13,87,0,7.615384615384615
11/13/22 13:11:12,11,100,15,85,0,5.866666666666666
11/13/22 13:11:13,12,100,13,87,0,4.769230769230769
11/13/22 13:11:13,13,100,16,84,0,4.9375
11/13/22 13:11:14,14,100,12,88,0,9.583333333333334
11/13/22 13:11:14,15,100,11,89,0,7.909090909090909
11/13/22 13:11:15,16,100,20,80,0,8.1
11/13/22 13:11:15,17,100,18,82,0,5.777777777777778
11/13/22 13:11:16,18,100,19,81,0,6.105263157894737
11/13/22 13:11:17,19,100,15,85,0,7.666666666666667
11/13/22 13:11:17,20,100,11,89,0,7.818181818181818
11/13/22 13:11:18,21,100,13,87,0,7.230769230769231
11/13/22 13:11:18,22,100,19,81,0,5.421052631578948
11/13/22 13:11:19,23,100,18,82,0,7.333333333333333
11/13/22 13:11:19,24,100,7,93,0,11.0
11/13/22 13:11:20,25,100,18,82,0,8.0
11/13/22 13:11:20,26,100,10,90,0,4.6
11/13/22 13:11:21,27,100,17,83,0,7.0
11/13/22 13:11:21,28,100,12,88,0,8.083333333333334
11/13/22 13:11:22,29,100,18,82,0,4.333333333333333
11/13/22 13:11:22,30,100,14,86,0,6.785714285714286
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:53:32,1,100,65,34,1,20.784615384615385
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:54:38,1,100,16,84,0,7.125
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:54:51,1,100,66,33,1,21.893939393939394
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:00,1,100,57,43,0,20.42105263157895
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:07,1,100,62,37,1,19.919354838709676
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:13,1,100,70,30,0,23.314285714285713
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:17,1,100,68,32,0,20.220588235294116
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:22,1,100,48,52,0,22.3125
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:37,1,100,64,36,0,22.21875
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:41,1,100,73,27,0,21.78082191780822
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:46,1,100,68,32,0,19.397058823529413
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:55:57,1,100,65,35,0,20.43076923076923
11/13/22 13:55:58,2,100,69,31,0,22.28985507246377
11/13/22 13:56:00,3,100,66,33,1,20.681818181818183
11/13/22 13:56:00,4,100,65,35,0,20.246153846153845
11/13/22 13:56:01,5,100,75,25,0,20.28
11/13/22 13:56:02,6,100,68,32,0,20.220588235294116
11/13/22 13:56:03,7,100,73,27,0,19.095890410958905
11/13/22 13:56:04,8,100,74,24,2,21.27027027027027
11/13/22 13:56:05,9,100,65,35,0,19.246153846153845
11/13/22 13:56:06,10,100,66,34,0,22.09090909090909
11/13/22 13:56:07,11,100,66,34,0,18.303030303030305
11/13/22 13:56:08,12,100,60,38,2,19.566666666666666
11/13/22 13:56:09,13,100,70,30,0,20.4
11/13/22 13:56:10,14,100,66,34,0,19.0
11/13/22 13:56:11,15,100,64,36,0,19.59375
11/13/22 13:56:12,16,100,70,30,0,18.9
11/13/22 13:56:13,17,100,68,32,0,18.955882352941178
11/13/22 13:56:14,18,100,70,29,1,21.6
11/13/22 13:56:15,19,100,64,36,0,15.515625
11/13/22 13:56:16,20,100,59,41,0,19.8135593220339
11/13/22 13:56:17,21,100,60,39,1,20.05
11/13/22 13:56:18,22,100,58,42,0,17.46551724137931
11/13/22 13:56:19,23,100,63,37,0,16.285714285714285
11/13/22 13:56:20,24,100,63,36,1,19.873015873015873
11/13/22 13:56:20,25,100,67,32,1,20.597014925373134
11/13/22 13:56:21,26,100,67,33,0,16.80597014925373
11/13/22 13:56:22,27,100,65,35,0,23.93846153846154
11/13/22 13:56:23,28,100,53,47,0,17.88679245283019
11/13/22 13:56:24,29,100,66,34,0,19.742424242424242
11/13/22 13:56:25,30,100,63,37,0,19.952380952380953
Date Time,Simulation Number,Number of Graphs,Won,Died,Hanged,No. of Steps,Comments
Execution Started
11/13/22 13:57:07,1,100,51,49,0,19.235294117647058
11/13/22 13:57:08,2,100,63,36,1,17.46031746031746
11/13/22 13:57:09,3,100,60,40,0,25.533333333333335
11/13/22 13:57:10,4,100,49,50,1,19.06122448979592
11/13/22 13:57:10,5,100,55,45,0,19.98181818181818
11/13/22 13:57:11,6,100,69,31,0,20.92753623188406
11/13/22 13:57:12,7,100,59,41,0,23.728813559322035
11/13/22 13:57:13,8,100,51,49,0,22.0
11/13/22 13:57:14,9,100,55,44,1,23.036363636363635
11/13/22 13:57:15,10,100,60,40,0,21.566666666666666
11/13/22 13:57:16,11,100,62,36,2,23.725806451612904
11/13/22 13:57:17,12,100,58,42,0,22.379310344827587
11/13/22 13:57:17,13,100,50,50,0,20.56
11/13/22 13:57:18,14,100,47,53,0,26.23404255319149
11/13/22 13:57:19,15,100,58,42,0,18.655172413793103
11/13/22 13:57:20,16,100,62,38,0,19.5
11/13/22 13:57:21,17,100,54,45,1,19.38888888888889
11/13/22 13:57:21,18,100,58,42,0,20.24137931034483
11/13/22 13:57:22,19,100,59,41,0,21.203389830508474
11/13/22 13:57:23,20,100,46,54,0,18.847826086956523
11/13/22 13:57:24,21,100,46,54,0,24.0
11/13/22 13:57:25,22,100,46,54,0,20.91304347826087
11/13/22 13:57:25,23,100,53,47,0,20.20754716981132
11/13/22 13:57:26,24,100,58,42,0,20.448275862068964
11/13/22 13:57:27,25,100,53,46,1,20.30188679245283
11/13/22 13:57:28,26,100,56,44,0,22.75
11/13/22 13:57:29,27,100,56,44,0,20.142857142857142
11/13/22 13:57:29,28,100,56,44,0,20.125
11/13/22 13:57:30,29,100,48,50,2,23.0
11/13/22 13:57:31,30,100,55,45,0,22.29090909090909
